Timestamp,Username,Action,Resource,Status,IPAddress
2024-01-15 07:45:01,jsmith,LOGIN,VPN,SUCCESS,71.34.22.105
2024-01-15 07:48:12,alopez,LOGIN,VPN,SUCCESS,98.112.55.200
2024-01-15 07:50:33,tchen,LOGIN,VPN,SUCCESS,174.62.88.14
2024-01-15 07:52:44,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 07:53:01,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 07:53:18,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 07:55:00,mwilson,LOGIN,VPN,SUCCESS,50.78.200.6
2024-01-15 07:58:22,rpatel,LOGIN,VPN,SUCCESS,67.180.44.91
2024-01-15 08:00:01,jsmith,LOGIN,VPN,SUCCESS,71.34.22.105
2024-01-15 08:01:15,kthompson,LOGIN,VPN,SUCCESS,24.99.201.55
2024-01-15 08:02:30,dnguyen,LOGIN,VPN,FAILED,172.56.33.18
2024-01-15 08:02:55,dnguyen,LOGIN,VPN,FAILED,172.56.33.18
2024-01-15 08:03:10,dnguyen,LOGIN,VPN,SUCCESS,172.56.33.18
2024-01-15 08:05:22,jsmith,ACCESS,FileShare,SUCCESS,10.10.1.45
2024-01-15 08:06:00,alopez,ACCESS,FileShare,SUCCESS,10.10.1.102
2024-01-15 08:07:10,tchen,ACCESS,HRSystem,SUCCESS,10.10.5.88
2024-01-15 08:08:45,mwilson,ACCESS,FileShare,SUCCESS,10.10.2.5
2024-01-15 08:09:00,rpatel,ACCESS,Confluence,SUCCESS,10.10.1.78
2024-01-15 08:10:05,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 08:11:13,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 08:12:01,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 08:13:00,lfoster,LOGIN,VPN,SUCCESS,108.48.77.230
2024-01-15 08:14:22,smartin,LOGIN,VPN,SUCCESS,75.21.140.9
2024-01-15 08:15:30,mwilson,LOGIN,VPN,SUCCESS,50.78.200.6
2024-01-15 08:16:00,kthompson,ACCESS,FileShare,SUCCESS,10.10.5.201
2024-01-15 08:17:45,jsmith,ACCESS,HRSystem,SUCCESS,10.10.1.45
2024-01-15 08:18:30,alopez,ACCESS,HRSystem,FAILED,10.10.1.102
2024-01-15 08:19:00,lfoster,ACCESS,FileShare,SUCCESS,10.10.1.210
2024-01-15 08:20:10,smartin,ACCESS,Confluence,SUCCESS,10.10.5.55
2024-01-15 08:21:00,tchen,ACCESS,FileShare,SUCCESS,10.10.5.88
2024-01-15 08:22:15,dnguyen,ACCESS,FileShare,SUCCESS,10.10.2.99
2024-01-15 08:23:00,rpatel,ACCESS,HRSystem,SUCCESS,10.10.1.78
2024-01-15 08:24:45,mwilson,ACCESS,Confluence,SUCCESS,10.10.2.5
2024-01-15 08:25:30,bjones,LOGIN,VPN,SUCCESS,10.0.0.22
2024-01-15 08:26:00,bjones,ACCESS,FileShare,SUCCESS,10.10.5.130
2024-01-15 08:27:10,jsmith,ACCESS,Confluence,SUCCESS,10.10.1.45
2024-01-15 08:28:00,kthompson,ACCESS,HRSystem,SUCCESS,10.10.5.201
2024-01-15 08:29:15,alopez,LOGIN,VPN,FAILED,98.112.55.200
2024-01-15 08:30:00,alopez,LOGIN,VPN,SUCCESS,98.112.55.200
2024-01-15 08:31:00,smartin,ACCESS,HRSystem,SUCCESS,10.10.5.55
2024-01-15 08:32:45,lfoster,ACCESS,Confluence,SUCCESS,10.10.1.210
2024-01-15 08:33:00,tchen,ACCESS,Confluence,SUCCESS,10.10.5.88
2024-01-15 08:34:15,rpatel,ACCESS,FileShare,SUCCESS,10.10.1.78
2024-01-15 08:35:30,dnguyen,ACCESS,Confluence,SUCCESS,10.10.2.99
2024-01-15 08:36:00,mwilson,ACCESS,HRSystem,SUCCESS,10.10.2.5
2024-01-15 08:37:45,jsmith,LOGOUT,VPN,SUCCESS,71.34.22.105
2024-01-15 08:38:00,kthompson,LOGOUT,VPN,SUCCESS,24.99.201.55
2024-01-15 08:39:15,lfoster,ACCESS,HRSystem,SUCCESS,10.10.1.210
2024-01-15 08:40:00,smartin,ACCESS,FileShare,SUCCESS,10.10.5.55
2024-01-15 08:41:30,bjones,ACCESS,HRSystem,FAILED,10.10.5.130
2024-01-15 08:42:00,bjones,ACCESS,HRSystem,FAILED,10.10.5.130
2024-01-15 08:43:15,rpatel,LOGOUT,VPN,SUCCESS,67.180.44.91
2024-01-15 08:44:00,alopez,ACCESS,FileShare,SUCCESS,10.10.1.102
2024-01-15 08:45:30,tchen,LOGOUT,VPN,SUCCESS,174.62.88.14
2024-01-15 08:46:00,mwilson,LOGOUT,VPN,SUCCESS,50.78.200.6
2024-01-15 08:47:45,dnguyen,LOGOUT,VPN,SUCCESS,172.56.33.18
2024-01-15 08:48:00,jsmith,LOGIN,VPN,SUCCESS,71.34.22.105
2024-01-15 08:49:15,kthompson,LOGIN,VPN,SUCCESS,24.99.201.55
2024-01-15 08:50:00,smartin,LOGOUT,VPN,SUCCESS,75.21.140.9
2024-01-15 08:51:30,lfoster,LOGOUT,VPN,SUCCESS,108.48.77.230
2024-01-15 09:00:00,jsmith,ACCESS,HRSystem,SUCCESS,10.10.1.45
2024-01-15 09:01:15,alopez,ACCESS,Confluence,SUCCESS,10.10.1.102
2024-01-15 09:02:00,tchen,LOGIN,VPN,SUCCESS,174.62.88.14
2024-01-15 09:03:30,mwilson,LOGIN,VPN,SUCCESS,50.78.200.6
2024-01-15 09:04:00,rpatel,LOGIN,VPN,SUCCESS,67.180.44.91
2024-01-15 09:05:45,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 09:06:00,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 09:07:15,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 09:08:00,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 09:09:30,kthompson,ACCESS,FileShare,SUCCESS,10.10.5.201
2024-01-15 09:10:00,dnguyen,LOGIN,VPN,SUCCESS,172.56.33.18
2024-01-15 09:11:15,lfoster,LOGIN,VPN,SUCCESS,108.48.77.230
2024-01-15 09:12:00,smartin,LOGIN,VPN,SUCCESS,75.21.140.9
2024-01-15 09:13:30,jsmith,ACCESS,FileShare,SUCCESS,10.10.1.45
2024-01-15 09:14:00,alopez,ACCESS,HRSystem,SUCCESS,10.10.1.102
2024-01-15 09:15:45,tchen,ACCESS,FileShare,SUCCESS,10.10.5.88
2024-01-15 09:16:00,mwilson,ACCESS,FileShare,SUCCESS,10.10.2.5
2024-01-15 09:17:15,rpatel,ACCESS,Confluence,SUCCESS,10.10.1.78
2024-01-15 09:18:00,kthompson,ACCESS,HRSystem,SUCCESS,10.10.5.201
2024-01-15 09:19:30,dnguyen,ACCESS,HRSystem,SUCCESS,10.10.2.99
2024-01-15 09:20:00,lfoster,ACCESS,FileShare,SUCCESS,10.10.1.210
2024-01-15 09:21:15,smartin,ACCESS,HRSystem,SUCCESS,10.10.5.55
2024-01-15 09:22:00,bjones,LOGIN,VPN,SUCCESS,10.0.0.22
2024-01-15 09:23:30,bjones,ACCESS,FileShare,SUCCESS,10.10.5.130
2024-01-15 09:24:00,jsmith,ACCESS,Confluence,SUCCESS,10.10.1.45
2024-01-15 09:25:45,alopez,ACCESS,FileShare,SUCCESS,10.10.1.102
2024-01-15 09:26:00,tchen,ACCESS,HRSystem,SUCCESS,10.10.5.88
2024-01-15 09:27:15,mwilson,ACCESS,Confluence,SUCCESS,10.10.2.5
2024-01-15 09:28:00,rpatel,ACCESS,HRSystem,SUCCESS,10.10.1.78
2024-01-15 09:29:30,kthompson,LOGOUT,VPN,SUCCESS,24.99.201.55
2024-01-15 09:30:00,bjones,LOGIN,VPN,SUCCESS,10.0.0.22
2024-01-15 09:31:15,dnguyen,ACCESS,Confluence,SUCCESS,10.10.2.99
2024-01-15 09:32:00,lfoster,ACCESS,HRSystem,SUCCESS,10.10.1.210
2024-01-15 09:33:30,smartin,ACCESS,Confluence,SUCCESS,10.10.5.55
2024-01-15 09:34:00,jsmith,LOGOUT,VPN,SUCCESS,71.34.22.105
2024-01-15 09:35:15,alopez,LOGOUT,VPN,SUCCESS,98.112.55.200
2024-01-15 09:36:00,tchen,LOGOUT,VPN,SUCCESS,174.62.88.14
2024-01-15 09:37:30,mwilson,LOGOUT,VPN,SUCCESS,50.78.200.6
2024-01-15 09:38:00,rpatel,LOGOUT,VPN,SUCCESS,67.180.44.91
2024-01-15 09:39:15,dnguyen,LOGOUT,VPN,SUCCESS,172.56.33.18
2024-01-15 09:40:00,lfoster,LOGOUT,VPN,SUCCESS,108.48.77.230
2024-01-15 09:41:30,smartin,LOGOUT,VPN,SUCCESS,75.21.140.9
2024-01-15 10:00:00,jsmith,LOGIN,VPN,SUCCESS,71.34.22.105
2024-01-15 10:01:15,kthompson,LOGIN,VPN,SUCCESS,24.99.201.55
2024-01-15 10:02:00,alopez,LOGIN,VPN,SUCCESS,98.112.55.200
2024-01-15 10:03:30,tchen,LOGIN,VPN,SUCCESS,174.62.88.14
2024-01-15 10:04:00,mwilson,LOGIN,VPN,SUCCESS,50.78.200.6
2024-01-15 10:05:45,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 10:06:00,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 10:07:15,rpatel,LOGIN,VPN,SUCCESS,67.180.44.91
2024-01-15 10:08:00,dnguyen,LOGIN,VPN,SUCCESS,172.56.33.18
2024-01-15 10:09:30,lfoster,LOGIN,VPN,SUCCESS,108.48.77.230
2024-01-15 10:10:00,smartin,LOGIN,VPN,SUCCESS,75.21.140.9
2024-01-15 10:11:15,jsmith,ACCESS,FileShare,SUCCESS,10.10.1.45
2024-01-15 10:12:00,kthompson,ACCESS,FileShare,SUCCESS,10.10.5.201
2024-01-15 10:13:30,alopez,ACCESS,HRSystem,SUCCESS,10.10.1.102
2024-01-15 10:14:00,tchen,ACCESS,Confluence,SUCCESS,10.10.5.88
2024-01-15 10:15:45,mwilson,ACCESS,FileShare,SUCCESS,10.10.2.5
2024-01-15 10:16:00,rpatel,ACCESS,FileShare,SUCCESS,10.10.1.78
2024-01-15 10:17:15,dnguyen,ACCESS,FileShare,SUCCESS,10.10.2.99
2024-01-15 10:18:00,lfoster,ACCESS,Confluence,SUCCESS,10.10.1.210
2024-01-15 10:19:30,smartin,ACCESS,FileShare,SUCCESS,10.10.5.55
2024-01-15 10:20:00,bjones,LOGIN,VPN,SUCCESS,10.0.0.22
2024-01-15 10:21:15,bjones,ACCESS,Confluence,SUCCESS,10.10.5.130
2024-01-15 10:22:00,jsmith,ACCESS,HRSystem,SUCCESS,10.10.1.45
2024-01-15 10:23:30,kthompson,ACCESS,Confluence,SUCCESS,10.10.5.201
2024-01-15 10:24:00,alopez,ACCESS,Confluence,SUCCESS,10.10.1.102
2024-01-15 10:25:45,tchen,ACCESS,HRSystem,SUCCESS,10.10.5.88
2024-01-15 10:26:00,mwilson,ACCESS,HRSystem,SUCCESS,10.10.2.5
2024-01-15 10:27:15,rpatel,ACCESS,HRSystem,SUCCESS,10.10.1.78
2024-01-15 10:28:00,dnguyen,ACCESS,Confluence,SUCCESS,10.10.2.99
2024-01-15 10:29:30,lfoster,ACCESS,HRSystem,SUCCESS,10.10.1.210
2024-01-15 10:30:00,smartin,ACCESS,HRSystem,FAILED,10.10.5.55
2024-01-15 10:31:15,jsmith,LOGOUT,VPN,SUCCESS,71.34.22.105
2024-01-15 10:32:00,kthompson,LOGOUT,VPN,SUCCESS,24.99.201.55
2024-01-15 10:33:30,alopez,LOGOUT,VPN,SUCCESS,98.112.55.200
2024-01-15 10:34:00,tchen,LOGOUT,VPN,SUCCESS,174.62.88.14
2024-01-15 10:35:15,mwilson,LOGOUT,VPN,SUCCESS,50.78.200.6
2024-01-15 10:36:00,rpatel,LOGOUT,VPN,SUCCESS,67.180.44.91
2024-01-15 10:37:30,dnguyen,LOGOUT,VPN,SUCCESS,172.56.33.18
2024-01-15 10:38:00,lfoster,LOGOUT,VPN,SUCCESS,108.48.77.230
2024-01-15 10:39:15,smartin,LOGOUT,VPN,SUCCESS,75.21.140.9
2024-01-15 10:40:00,bjones,LOGOUT,VPN,SUCCESS,10.0.0.22
2024-01-15 11:00:00,jsmith,LOGIN,VPN,SUCCESS,71.34.22.105
2024-01-15 11:01:15,alopez,LOGIN,VPN,SUCCESS,98.112.55.200
2024-01-15 11:02:00,tchen,LOGIN,VPN,SUCCESS,174.62.88.14
2024-01-15 11:03:30,mwilson,LOGIN,VPN,SUCCESS,50.78.200.6
2024-01-15 11:04:00,rpatel,LOGIN,VPN,SUCCESS,67.180.44.91
2024-01-15 11:05:45,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 11:06:00,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 11:07:15,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 11:08:00,kthompson,LOGIN,VPN,SUCCESS,24.99.201.55
2024-01-15 11:09:30,dnguyen,LOGIN,VPN,SUCCESS,172.56.33.18
2024-01-15 11:10:00,lfoster,LOGIN,VPN,SUCCESS,108.48.77.230
2024-01-15 11:11:15,smartin,LOGIN,VPN,SUCCESS,75.21.140.9
2024-01-15 11:12:00,jsmith,ACCESS,Confluence,SUCCESS,10.10.1.45
2024-01-15 11:13:30,alopez,ACCESS,FileShare,SUCCESS,10.10.1.102
2024-01-15 11:14:00,tchen,ACCESS,FileShare,SUCCESS,10.10.5.88
2024-01-15 11:15:45,mwilson,ACCESS,FileShare,SUCCESS,10.10.2.5
2024-01-15 11:16:00,rpatel,ACCESS,FileShare,SUCCESS,10.10.1.78
2024-01-15 11:17:15,bjones,LOGIN,VPN,SUCCESS,10.0.0.22
2024-01-15 11:18:00,kthompson,ACCESS,HRSystem,SUCCESS,10.10.5.201
2024-01-15 11:19:30,dnguyen,ACCESS,HRSystem,SUCCESS,10.10.2.99
2024-01-15 11:20:00,lfoster,ACCESS,FileShare,SUCCESS,10.10.1.210
2024-01-15 11:21:15,smartin,ACCESS,Confluence,SUCCESS,10.10.5.55
2024-01-15 11:22:00,jsmith,ACCESS,HRSystem,SUCCESS,10.10.1.45
2024-01-15 11:23:30,alopez,ACCESS,Confluence,SUCCESS,10.10.1.102
2024-01-15 11:24:00,tchen,ACCESS,Confluence,SUCCESS,10.10.5.88
2024-01-15 11:25:45,mwilson,ACCESS,HRSystem,SUCCESS,10.10.2.5
2024-01-15 11:26:00,rpatel,ACCESS,HRSystem,FAILED,10.10.1.78
2024-01-15 11:27:15,rpatel,ACCESS,HRSystem,FAILED,10.10.1.78
2024-01-15 11:28:00,kthompson,ACCESS,Confluence,SUCCESS,10.10.5.201
2024-01-15 11:29:30,dnguyen,ACCESS,FileShare,SUCCESS,10.10.2.99
2024-01-15 11:30:00,lfoster,ACCESS,HRSystem,SUCCESS,10.10.1.210
2024-01-15 11:31:15,smartin,ACCESS,HRSystem,SUCCESS,10.10.5.55
2024-01-15 11:32:00,bjones,ACCESS,FileShare,SUCCESS,10.10.5.130
2024-01-15 11:33:30,jsmith,LOGOUT,VPN,SUCCESS,71.34.22.105
2024-01-15 11:34:00,alopez,LOGOUT,VPN,SUCCESS,98.112.55.200
2024-01-15 11:35:15,tchen,LOGOUT,VPN,SUCCESS,174.62.88.14
2024-01-15 11:36:00,mwilson,LOGOUT,VPN,SUCCESS,50.78.200.6
2024-01-15 11:37:30,rpatel,LOGOUT,VPN,SUCCESS,67.180.44.91
2024-01-15 11:38:00,kthompson,LOGOUT,VPN,SUCCESS,24.99.201.55
2024-01-15 11:39:15,dnguyen,LOGOUT,VPN,SUCCESS,172.56.33.18
2024-01-15 11:40:00,lfoster,LOGOUT,VPN,SUCCESS,108.48.77.230
2024-01-15 11:41:30,smartin,LOGOUT,VPN,SUCCESS,75.21.140.9
2024-01-15 11:42:00,bjones,LOGOUT,VPN,SUCCESS,10.0.0.22
2024-01-15 13:00:00,jsmith,LOGIN,VPN,SUCCESS,71.34.22.105
2024-01-15 13:01:15,alopez,LOGIN,VPN,SUCCESS,98.112.55.200
2024-01-15 13:02:00,tchen,LOGIN,VPN,SUCCESS,174.62.88.14
2024-01-15 13:03:30,mwilson,LOGIN,VPN,SUCCESS,50.78.200.6
2024-01-15 13:04:00,rpatel,LOGIN,VPN,SUCCESS,67.180.44.91
2024-01-15 13:05:00,kthompson,LOGIN,VPN,SUCCESS,24.99.201.55
2024-01-15 13:06:15,dnguyen,LOGIN,VPN,SUCCESS,172.56.33.18
2024-01-15 13:07:00,lfoster,LOGIN,VPN,SUCCESS,108.48.77.230
2024-01-15 13:08:30,smartin,LOGIN,VPN,SUCCESS,75.21.140.9
2024-01-15 13:09:00,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 13:09:30,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 13:10:00,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 13:10:30,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 13:11:00,bjones,LOGIN,VPN,FAILED,10.0.0.22
2024-01-15 13:12:00,jsmith,ACCESS,FileShare,SUCCESS,10.10.1.45
2024-01-15 13:13:15,alopez,ACCESS,HRSystem,SUCCESS,10.10.1.102
2024-01-15 13:14:00,tchen,ACCESS,FileShare,SUCCESS,10.10.5.88
2024-01-15 13:15:30,mwilson,ACCESS,Confluence,SUCCESS,10.10.2.5
2024-01-15 13:16:00,rpatel,ACCESS,FileShare,SUCCESS,10.10.1.78
2024-01-15 13:17:15,kthompson,ACCESS,FileShare,SUCCESS,10.10.5.201
2024-01-15 13:18:00,dnguyen,ACCESS,Confluence,SUCCESS,10.10.2.99
2024-01-15 13:19:30,lfoster,ACCESS,HRSystem,SUCCESS,10.10.1.210
2024-01-15 13:20:00,smartin,ACCESS,FileShare,SUCCESS,10.10.5.55
2024-01-15 13:21:15,bjones,LOGIN,VPN,SUCCESS,10.0.0.22
2024-01-15 13:22:00,bjones,ACCESS,FileShare,SUCCESS,10.10.5.130
2024-01-15 13:23:30,jsmith,ACCESS,HRSystem,SUCCESS,10.10.1.45
2024-01-15 13:24:00,alopez,ACCESS,Confluence,SUCCESS,10.10.1.102
2024-01-15 13:25:15,tchen,ACCESS,HRSystem,SUCCESS,10.10.5.88
2024-01-15 13:26:00,mwilson,ACCESS,HRSystem,SUCCESS,10.10.2.5
2024-01-15 13:27:30,rpatel,ACCESS,Confluence,SUCCESS,10.10.1.78
2024-01-15 13:28:00,kthompson,ACCESS,HRSystem,SUCCESS,10.10.5.201
2024-01-15 13:29:15,dnguyen,ACCESS,HRSystem,SUCCESS,10.10.2.99
2024-01-15 13:30:00,lfoster,ACCESS,Confluence,SUCCESS,10.10.1.210
2024-01-15 14:00:00,jsmith,LOGIN,VPN,SUCCESS,71.34.22.105
2024-01-15 14:01:00,alopez,LOGIN,VPN,SUCCESS,98.112.55.200
2024-01-15 14:02:15,tchen,LOGIN,VPN,SUCCESS,174.62.88.14
2024-01-15 14:03:00,mwilson,LOGIN,VPN,SUCCESS,50.78.200.6
2024-01-15 14:04:30,kthompson,LOGIN,VPN,SUCCESS,24.99.201.55
2024-01-15 14:05:00,dnguyen,LOGIN,VPN,SUCCESS,172.56.33.18
2024-01-15 14:06:15,lfoster,LOGIN,VPN,SUCCESS,108.48.77.230
2024-01-15 14:07:00,smartin,LOGIN,VPN,SUCCESS,75.21.140.9
2024-01-15 14:08:30,jsmith,ACCESS,Confluence,SUCCESS,10.10.1.45
2024-01-15 14:09:00,alopez,ACCESS,FileShare,SUCCESS,10.10.1.102
2024-01-15 14:10:15,tchen,ACCESS,Confluence,SUCCESS,10.10.5.88
2024-01-15 14:11:00,mwilson,ACCESS,FileShare,SUCCESS,10.10.2.5
2024-01-15 14:12:30,kthompson,ACCESS,Confluence,SUCCESS,10.10.5.201
2024-01-15 14:13:00,dnguyen,ACCESS,FileShare,SUCCESS,10.10.2.99
2024-01-15 14:14:15,lfoster,ACCESS,FileShare,SUCCESS,10.10.1.210
2024-01-15 14:15:00,smartin,ACCESS,HRSystem,SUCCESS,10.10.5.55
2024-01-15 14:16:30,jsmith,ACCESS,HRSystem,SUCCESS,10.10.1.45
2024-01-15 14:17:00,alopez,ACCESS,HRSystem,SUCCESS,10.10.1.102
2024-01-15 14:18:15,tchen,ACCESS,HRSystem,SUCCESS,10.10.5.88
2024-01-15 14:19:00,mwilson,LOGOUT,VPN,SUCCESS,50.78.200.6
2024-01-15 14:20:30,kthompson,LOGOUT,VPN,SUCCESS,24.99.201.55
2024-01-15 14:21:00,dnguyen,LOGOUT,VPN,SUCCESS,172.56.33.18
2024-01-15 14:22:15,lfoster,LOGOUT,VPN,SUCCESS,108.48.77.230
2024-01-15 14:23:00,smartin,LOGOUT,VPN,SUCCESS,75.21.140.9
2024-01-15 14:24:30,jsmith,LOGOUT,VPN,SUCCESS,71.34.22.105
2024-01-15 14:25:00,alopez,LOGOUT,VPN,SUCCESS,98.112.55.200
2024-01-15 14:26:15,tchen,LOGOUT,VPN,SUCCESS,174.62.88.14
